"RelativePath","Encoding","Size"
"public\log-check\raw-log\output_log_2026-03-01_18-55-01.txt","UTF-8 (ASCII Only)","1078416"
"public\log-check\raw-log\output_log_2026-02-24_23-40-55.txt","UTF-8 (ASCII Only)","52672"
"public\log-check\raw-log\output_log_2026-02-24_23-47-47.txt","UTF-8 (ASCII Only)","87626"
"public\log-check\raw-log\output_log_2026-02-25_00-18-00.txt","UTF-8","6338"
"public\log-check\raw-log\output_log_2026-03-01_22-20-48.txt","UTF-8 (ASCII Only)","973335"
"public\log-check\raw-log\output_log_2026-02-21_23-14-36.txt","UTF-8 (ASCII Only)","3519409"
"public\log-check\raw-log\output_log_2026-03-02_21-31-06.txt","UTF-8 (ASCII Only)","1681435"
"public\test_case\Polaris\チェックリスト_Polaris.html","UTF-8","35840"
"public\test_case\Alpheratz\チェックリスト_Alpheratz.html","UTF-8","38874"
"public\AppIcon\Polaris\Polaris-icon.png","Binary/System","863330"
"public\AppIcon\STELLARECORD\STELLARECORD_icon.png","Binary/System","1521319"
"public\AppIcon\Alpheratz\Alpheratz-icon.png","Binary/System","1122041"
"public\AppIcon\Mira\Mira-icon.png","Binary/System","879298"
"public\課題\現課題.md","UTF-8","19774"
"public\課題\対応不要.md","UTF-8","1744"
"public\課題\現課題2.md","UTF-8","15246"
"public\課題\現課題3.md","UTF-8","15844"
"public\課題\現課題4.md","UTF-8","13556"
"StellaRecord\Cargo.toml","UTF-8 (ASCII Only)","781"
"StellaRecord\Cargo.lock","UTF-8 (ASCII Only)","135323"
"StellaRecord\cargo_error.log","UTF-16 LE","81686"
"StellaRecord\cargo_out.json","UTF-8 (ASCII Only)","459356"
"StellaRecord\stella_error.log","Empty","0"
"StellaRecord\err.log","UTF-8 (ASCII Only)","18848"
"StellaRecord\README_STELLARECORD.html","UTF-8","6762"
"StellaRecord\package.json","UTF-8 (ASCII Only)","626"
"StellaRecord\stella_record_ui\.gitignore","UTF-8 (ASCII Only)","253"
"StellaRecord\stella_record_ui\README.md","UTF-8 (ASCII Only)","2555"
"StellaRecord\stella_record_ui\eslint.config.js","UTF-8 (ASCII Only)","616"
"StellaRecord\stella_record_ui\index.html","UTF-8 (ASCII Only)","301"
"StellaRecord\stella_record_ui\package-lock.json","UTF-8 (ASCII Only)","121910"
"StellaRecord\stella_record_ui\package.json","UTF-8 (ASCII Only)","826"
"StellaRecord\stella_record_ui\tsconfig.app.json","UTF-8 (ASCII Only)","732"
"StellaRecord\stella_record_ui\tsconfig.json","UTF-8 (ASCII Only)","119"
"StellaRecord\stella_record_ui\tsconfig.node.json","UTF-8 (ASCII Only)","653"
"StellaRecord\stella_record_ui\vite.config.ts","UTF-8 (ASCII Only)","161"
"StellaRecord\stella_record_ui\lint_output.txt","UTF-16 LE","24320"
"StellaRecord\stella_record_ui\lint_output_final.txt","UTF-16 LE","6770"
"StellaRecord\stella_record_ui\src-tauri\.gitignore","UTF-8 (ASCII Only)","173"
"StellaRecord\stella_record_ui\src-tauri\Cargo.lock","UTF-8 (ASCII Only)","136869"
"StellaRecord\stella_record_ui\src-tauri\Cargo.toml","UTF-8 (ASCII Only)","799"
"StellaRecord\stella_record_ui\src-tauri\build.rs","UTF-8 (ASCII Only)","42"
"StellaRecord\stella_record_ui\src-tauri\err.txt","UTF-8 (ASCII Only)","18749"
"StellaRecord\stella_record_ui\src-tauri\tauri.conf.json","UTF-8 (ASCII Only)","1193"
"StellaRecord\stella_record_ui\src-tauri\rust-toolchain.toml","UTF-8 (ASCII Only)","31"
"StellaRecord\stella_record_ui\src-tauri\capabilities\default.json","UTF-8 (ASCII Only)","285"
"StellaRecord\stella_record_ui\src-tauri\icons\icon.icns","Binary/System","1503535"
"StellaRecord\stella_record_ui\src-tauri\icons\icon.ico","Binary/System","60132"
"StellaRecord\stella_record_ui\src-tauri\icons\StoreLogo.png","Binary/System","3446"
"StellaRecord\stella_record_ui\src-tauri\icons\Square30x30Logo.png","Binary/System","1605"
"StellaRecord\stella_record_ui\src-tauri\icons\Square44x44Logo.png","Binary/System","2878"
"StellaRecord\stella_record_ui\src-tauri\icons\Square71x71Logo.png","Binary/System","5892"
"StellaRecord\stella_record_ui\src-tauri\icons\Square89x89Logo.png","Binary/System","8372"
"StellaRecord\stella_record_ui\src-tauri\icons\Square107x107Logo.png","Binary/System","11048"
"StellaRecord\stella_record_ui\src-tauri\icons\Square142x142Logo.png","Binary/System","17351"
"StellaRecord\stella_record_ui\src-tauri\icons\Square150x150Logo.png","Binary/System","18829"
"StellaRecord\stella_record_ui\src-tauri\icons\Square284x284Logo.png","Binary/System","58612"
"StellaRecord\stella_record_ui\src-tauri\icons\Square310x310Logo.png","Binary/System","69284"
"StellaRecord\stella_record_ui\src-tauri\icons\32x32.png","Binary/System","1832"
"StellaRecord\stella_record_ui\src-tauri\icons\64x64.png","Binary/System","5001"
"StellaRecord\stella_record_ui\src-tauri\icons\128x128.png","Binary/System","14905"
"StellaRecord\stella_record_ui\src-tauri\icons\128x128@2x.png","Binary/System","47965"
"StellaRecord\stella_record_ui\src-tauri\icons\icon.png","Binary/System","200319"
"StellaRecord\stella_record_ui\src-tauri\icons\icon.bmp","Binary/System","67854"
"StellaRecord\stella_record_ui\src-tauri\icons\headerUI.bmp","Large File (Skipped)","17203254"
"StellaRecord\stella_record_ui\src-tauri\icons\wizardUI.bmp","Binary/System","154542"
"StellaRecord\stella_record_ui\src-tauri\icons\ios\AppIcon-20x20@2x-1.png","Binary/System","2463"
"StellaRecord\stella_record_ui\src-tauri\icons\ios\AppIcon-20x20@1x.png","Binary/System","916"
"StellaRecord\stella_record_ui\src-tauri\icons\ios\AppIcon-20x20@2x.png","Binary/System","2463"
"StellaRecord\stella_record_ui\src-tauri\icons\ios\AppIcon-20x20@3x.png","Binary/System","4503"
"StellaRecord\stella_record_ui\src-tauri\icons\ios\AppIcon-29x29@2x-1.png","Binary/System","4288"
"StellaRecord\stella_record_ui\src-tauri\icons\ios\AppIcon-29x29@1x.png","Binary/System","1542"
"StellaRecord\stella_record_ui\src-tauri\icons\ios\AppIcon-29x29@2x.png","Binary/System","4288"
"StellaRecord\stella_record_ui\src-tauri\icons\ios\AppIcon-29x29@3x.png","Binary/System","8021"
"StellaRecord\stella_record_ui\src-tauri\icons\ios\AppIcon-40x40@2x-1.png","Binary/System","7057"
"StellaRecord\stella_record_ui\src-tauri\icons\ios\AppIcon-40x40@1x.png","Binary/System","2463"
"StellaRecord\stella_record_ui\src-tauri\icons\ios\AppIcon-40x40@2x.png","Binary/System","7057"
"StellaRecord\stella_record_ui\src-tauri\icons\ios\AppIcon-40x40@3x.png","Binary/System","13246"
"StellaRecord\stella_record_ui\src-tauri\icons\ios\AppIcon-60x60@2x.png","Binary/System","13246"
"StellaRecord\stella_record_ui\src-tauri\icons\ios\AppIcon-60x60@3x.png","Binary/System","25355"
"StellaRecord\stella_record_ui\src-tauri\icons\ios\AppIcon-76x76@1x.png","Binary/System","6430"
"StellaRecord\stella_record_ui\src-tauri\icons\ios\AppIcon-76x76@2x.png","Binary/System","19416"
"StellaRecord\stella_record_ui\src-tauri\icons\ios\AppIcon-83.5x83.5@2x.png","Binary/System","22646"
"StellaRecord\stella_record_ui\src-tauri\icons\ios\AppIcon-512@2x.png","Binary/System","922510"
"StellaRecord\stella_record_ui\src-tauri\icons\android\mipmap-hdpi\ic_launcher_foreground.png","Binary/System","21589"
"StellaRecord\stella_record_ui\src-tauri\icons\android\mipmap-hdpi\ic_launcher_round.png","Binary/System","3136"
"StellaRecord\stella_record_ui\src-tauri\icons\android\mipmap-hdpi\ic_launcher.png","Binary/System","2871"
"StellaRecord\stella_record_ui\src-tauri\icons\android\mipmap-mdpi\ic_launcher_foreground.png","Binary/System","11303"
"StellaRecord\stella_record_ui\src-tauri\icons\android\mipmap-mdpi\ic_launcher_round.png","Binary/System","2948"
"StellaRecord\stella_record_ui\src-tauri\icons\android\mipmap-mdpi\ic_launcher.png","Binary/System","2714"
"StellaRecord\stella_record_ui\src-tauri\icons\android\mipmap-xhdpi\ic_launcher_foreground.png","Binary/System","34944"
"StellaRecord\stella_record_ui\src-tauri\icons\android\mipmap-xhdpi\ic_launcher_round.png","Binary/System","8702"
"StellaRecord\stella_record_ui\src-tauri\icons\android\mipmap-xhdpi\ic_launcher.png","Binary/System","7862"
"StellaRecord\stella_record_ui\src-tauri\icons\android\mipmap-xxhdpi\ic_launcher_foreground.png","Binary/System","76978"
"StellaRecord\stella_record_ui\src-tauri\icons\android\mipmap-xxhdpi\ic_launcher_round.png","Binary/System","17181"
"StellaRecord\stella_record_ui\src-tauri\icons\android\mipmap-xxhdpi\ic_launcher.png","Binary/System","15090"
"StellaRecord\stella_record_ui\src-tauri\icons\android\mipmap-xxxhdpi\ic_launcher_foreground.png","Binary/System","138056"
"StellaRecord\stella_record_ui\src-tauri\icons\android\mipmap-xxxhdpi\ic_launcher_round.png","Binary/System","27047"
"StellaRecord\stella_record_ui\src-tauri\icons\android\mipmap-xxxhdpi\ic_launcher.png","Binary/System","23703"
"StellaRecord\stella_record_ui\src-tauri\icons\android\values\ic_launcher_background.xml","UTF-8 (ASCII Only)","115"
"StellaRecord\stella_record_ui\src-tauri\icons\android\mipmap-anydpi-v26\ic_launcher.xml","UTF-8 (ASCII Only)","261"
"StellaRecord\stella_record_ui\src-tauri\src\config.rs","UTF-8","4469"
"StellaRecord\stella_record_ui\src-tauri\src\lib.rs","UTF-8 (ASCII Only)","1616"
"StellaRecord\stella_record_ui\src-tauri\src\main.rs","UTF-8","20841"
"StellaRecord\stella_record_ui\src-tauri\src\analyze\db.rs","UTF-8","5726"
"StellaRecord\stella_record_ui\src-tauri\src\analyze\parser.rs","UTF-8","5049"
"StellaRecord\stella_record_ui\src-tauri\src\analyze\mod.rs","UTF-8","20187"
"StellaRecord\stella_record_ui\src-tauri\windows\hooks.nsi","UTF-8","319"
"StellaRecord\stella_record_ui\src-tauri\windows\installer.nsi","UTF-8 (ASCII Only)","32689"
"StellaRecord\stella_record_ui\src-tauri\gen\schemas\acl-manifests.json","UTF-8 (ASCII Only)","139307"
"StellaRecord\stella_record_ui\src-tauri\gen\schemas\windows-schema.json","UTF-8 (ASCII Only)","407344"
"StellaRecord\stella_record_ui\src-tauri\gen\schemas\desktop-schema.json","UTF-8 (ASCII Only)","407344"
"StellaRecord\stella_record_ui\src-tauri\gen\schemas\capabilities.json","UTF-8 (ASCII Only)","206"
"StellaRecord\stella_record_ui\src\App.css","UTF-8","28397"
"StellaRecord\stella_record_ui\src\App.tsx","UTF-8 (ASCII Only)","34110"
"StellaRecord\stella_record_ui\src\main.tsx","UTF-8 (ASCII Only)","209"
"StellaRecord\stella_record_ui\src\index.css","UTF-8 (ASCII Only)","121"
"StellaRecord\tasks\todo.md","UTF-8","522"
"StellaRecord\tasks\lessons.md","UTF-8","7716"
"StellaRecord\tasks\extract_rooms.py","UTF-8","1595"
"StellaRecord\tasks\check_encoding.py","UTF-8 (ASCII Only)","306"
"StellaRecord\tasks\test_png.rs","UTF-8 (ASCII Only)","1143"
"StellaRecord\tasks\test_png_manual.rs","UTF-8 (ASCII Only)","1820"
"tmp\analyze_vrc_png.py","UTF-8","4560"
"tmp\debug_out.txt","UTF-8 BOM","86786"
"tmp\check_encoding.ps1","UTF-8 (ASCII Only)","1679"
"tmp\check_encoding_v2.ps1","UTF-8 (ASCII Only)","2673"
"tmp\check_encoding_v3.ps1","UTF-8 (ASCII Only)","3306"
"Alpheratz\README.md","UTF-8 (ASCII Only)","385"
"Alpheratz\.gitignore","UTF-8 (ASCII Only)","277"
"Alpheratz\index.html","UTF-8 (ASCII Only)","355"
"Alpheratz\tsconfig.json","UTF-8 (ASCII Only)","630"
"Alpheratz\tsconfig.node.json","UTF-8 (ASCII Only)","223"
"Alpheratz\vite.config.ts","UTF-8 (ASCII Only)","889"
"Alpheratz\package-lock.json","UTF-8 (ASCII Only)","92795"
"Alpheratz\package.json","UTF-8 (ASCII Only)","832"
"Alpheratz\dev-alpheratz.bat","UTF-8 (ASCII Only)","453"
"Alpheratz\build-alpheratz.bat","UTF-8 (ASCII Only)","594"
"Alpheratz\DB定義一覧_Alpheratz.md","UTF-8","1698"
"Alpheratz\src-tauri\tauri.conf.json","UTF-8 (ASCII Only)","1411"
"Alpheratz\src-tauri\.gitignore","UTF-8 (ASCII Only)","173"
"Alpheratz\src-tauri\build.rs","UTF-8 (ASCII Only)","42"
"Alpheratz\src-tauri\Cargo.lock","UTF-8 (ASCII Only)","158724"
"Alpheratz\src-tauri\Cargo.toml","UTF-8","946"
"Alpheratz\src-tauri\rust-toolchain.toml","UTF-8 (ASCII Only)","31"
"Alpheratz\src-tauri\capabilities\default.json","UTF-8 (ASCII Only)","285"
"Alpheratz\src-tauri\icons\128x128.png","Binary/System","23334"
"Alpheratz\src-tauri\icons\128x128@2x.png","Binary/System","78753"
"Alpheratz\src-tauri\icons\32x32.png","Binary/System","2267"
"Alpheratz\src-tauri\icons\Square107x107Logo.png","Binary/System","17063"
"Alpheratz\src-tauri\icons\Square142x142Logo.png","Binary/System","27505"
"Alpheratz\src-tauri\icons\Square150x150Logo.png","Binary/System","30759"
"Alpheratz\src-tauri\icons\Square284x284Logo.png","Binary/System","95758"
"Alpheratz\src-tauri\icons\Square30x30Logo.png","Binary/System","2069"
"Alpheratz\src-tauri\icons\Square310x310Logo.png","Binary/System","113034"
"Alpheratz\src-tauri\icons\Square44x44Logo.png","Binary/System","3854"
"Alpheratz\src-tauri\icons\Square71x71Logo.png","Binary/System","8518"
"Alpheratz\src-tauri\icons\Square89x89Logo.png","Binary/System","12419"
"Alpheratz\src-tauri\icons\StoreLogo.png","Binary/System","4690"
"Alpheratz\src-tauri\icons\icon.icns","Binary/System","1861186"
"Alpheratz\src-tauri\icons\icon.ico","Binary/System","94789"
"Alpheratz\src-tauri\icons\icon.png","Binary/System","295550"
"Alpheratz\src-tauri\icons\64x64.png","Binary/System","7167"
"Alpheratz\src-tauri\icons\icon.bmp","Binary/System","67854"
"Alpheratz\src-tauri\icons\headerUI.bmp","Large File (Skipped)","17203254"
"Alpheratz\src-tauri\icons\wizardUI.bmp","Binary/System","154542"
"Alpheratz\src-tauri\icons\ios\AppIcon-20x20@2x-1.png","Binary/System","3219"
"Alpheratz\src-tauri\icons\ios\AppIcon-20x20@1x.png","Binary/System","1070"
"Alpheratz\src-tauri\icons\ios\AppIcon-20x20@2x.png","Binary/System","3219"
"Alpheratz\src-tauri\icons\ios\AppIcon-20x20@3x.png","Binary/System","6328"
"Alpheratz\src-tauri\icons\ios\AppIcon-29x29@2x-1.png","Binary/System","6018"
"Alpheratz\src-tauri\icons\ios\AppIcon-29x29@1x.png","Binary/System","1956"
"Alpheratz\src-tauri\icons\ios\AppIcon-29x29@2x.png","Binary/System","6018"
"Alpheratz\src-tauri\icons\ios\AppIcon-29x29@3x.png","Binary/System","11789"
"Alpheratz\src-tauri\icons\ios\AppIcon-40x40@2x-1.png","Binary/System","10326"
"Alpheratz\src-tauri\icons\ios\AppIcon-40x40@1x.png","Binary/System","3219"
"Alpheratz\src-tauri\icons\ios\AppIcon-40x40@2x.png","Binary/System","10326"
"Alpheratz\src-tauri\icons\ios\AppIcon-40x40@3x.png","Binary/System","20478"
"Alpheratz\src-tauri\icons\ios\AppIcon-60x60@2x.png","Binary/System","20478"
"Alpheratz\src-tauri\icons\ios\AppIcon-60x60@3x.png","Binary/System","41640"
"Alpheratz\src-tauri\icons\ios\AppIcon-76x76@1x.png","Binary/System","9471"
"Alpheratz\src-tauri\icons\ios\AppIcon-76x76@2x.png","Binary/System","30832"
"Alpheratz\src-tauri\icons\ios\AppIcon-83.5x83.5@2x.png","Binary/System","36358"
"Alpheratz\src-tauri\icons\ios\AppIcon-512@2x.png","Binary/System","1094291"
"Alpheratz\src-tauri\icons\android\mipmap-hdpi\ic_launcher_foreground.png","Binary/System","34923"
"Alpheratz\src-tauri\icons\android\mipmap-hdpi\ic_launcher_round.png","Binary/System","4045"
"Alpheratz\src-tauri\icons\android\mipmap-hdpi\ic_launcher.png","Binary/System","3730"
"Alpheratz\src-tauri\icons\android\mipmap-mdpi\ic_launcher_foreground.png","Binary/System","17351"
"Alpheratz\src-tauri\icons\android\mipmap-mdpi\ic_launcher_round.png","Binary/System","3805"
"Alpheratz\src-tauri\icons\android\mipmap-mdpi\ic_launcher.png","Binary/System","3523"
"Alpheratz\src-tauri\icons\android\mipmap-xhdpi\ic_launcher_foreground.png","Binary/System","57985"
"Alpheratz\src-tauri\icons\android\mipmap-xhdpi\ic_launcher_round.png","Binary/System","12306"
"Alpheratz\src-tauri\icons\android\mipmap-xhdpi\ic_launcher.png","Binary/System","11079"
"Alpheratz\src-tauri\icons\android\mipmap-xxhdpi\ic_launcher_foreground.png","Binary/System","122709"
"Alpheratz\src-tauri\icons\android\mipmap-xxhdpi\ic_launcher_round.png","Binary/System","23892"
"Alpheratz\src-tauri\icons\android\mipmap-xxhdpi\ic_launcher.png","Binary/System","21651"
"Alpheratz\src-tauri\icons\android\mipmap-xxxhdpi\ic_launcher_foreground.png","Binary/System","214038"
"Alpheratz\src-tauri\icons\android\mipmap-xxxhdpi\ic_launcher_round.png","Binary/System","40460"
"Alpheratz\src-tauri\icons\android\mipmap-xxxhdpi\ic_launcher.png","Binary/System","36134"
"Alpheratz\src-tauri\icons\android\values\ic_launcher_background.xml","UTF-8 (ASCII Only)","115"
"Alpheratz\src-tauri\icons\android\mipmap-anydpi-v26\ic_launcher.xml","UTF-8 (ASCII Only)","261"
"Alpheratz\src-tauri\src\lib.rs","UTF-8","4178"
"Alpheratz\src-tauri\src\main.rs","UTF-8","2516"
"Alpheratz\src-tauri\src\config.rs","UTF-8","1744"
"Alpheratz\src-tauri\src\models.rs","UTF-8 (ASCII Only)","844"
"Alpheratz\src-tauri\src\utils.rs","UTF-8 (ASCII Only)","3488"
"Alpheratz\src-tauri\src\stella_record_ext.rs","UTF-8","1998"
"Alpheratz\src-tauri\src\scanner.rs","UTF-8 (ASCII Only)","18779"
"Alpheratz\src-tauri\src\db.rs","UTF-8 (ASCII Only)","6724"
"Alpheratz\src-tauri\windows\hooks.nsi","UTF-8","310"
"Alpheratz\src-tauri\windows\installer.nsi","UTF-8 (ASCII Only)","32680"
"Alpheratz\src-tauri\gen\schemas\acl-manifests.json","UTF-8 (ASCII Only)","139307"
"Alpheratz\src-tauri\gen\schemas\windows-schema.json","UTF-8 (ASCII Only)","407344"
"Alpheratz\src-tauri\gen\schemas\desktop-schema.json","UTF-8 (ASCII Only)","407344"
"Alpheratz\src-tauri\gen\schemas\capabilities.json","UTF-8 (ASCII Only)","206"
"Alpheratz\src-tauri\migrations\V1__initial_schema.sql","UTF-8 (ASCII Only)","897"
"Alpheratz\.vscode\extensions.json","UTF-8 (ASCII Only)","83"
"Alpheratz\src\App.css","UTF-8","22366"
"Alpheratz\src\App.tsx","UTF-8","6294"
"Alpheratz\src\main.tsx","UTF-8 (ASCII Only)","255"
"Alpheratz\src\vite-env.d.ts","UTF-8 (ASCII Only)","39"
"Alpheratz\src\index.css","UTF-8","50"
"Alpheratz\src\assets\react.svg","UTF-8 (ASCII Only)","4126"
"Alpheratz\src\types\index.ts","UTF-8 (ASCII Only)","481"
"Alpheratz\src\components\Icons.tsx","UTF-8 (ASCII Only)","2286"
"Alpheratz\src\components\PhotoCard.tsx","UTF-8","1794"
"Alpheratz\src\components\Header.tsx","UTF-8","1556"
"Alpheratz\src\components\MonthNav.tsx","UTF-8","1525"
"Alpheratz\src\components\ActionCards.tsx","UTF-8","1654"
"Alpheratz\src\components\SettingsModal.tsx","UTF-8","1679"
"Alpheratz\src\components\PhotoGrid.tsx","UTF-8 (ASCII Only)","2665"
"Alpheratz\src\components\CustomScrollbar.tsx","UTF-8","1354"
"Alpheratz\src\components\ScanningOverlay.tsx","UTF-8","1194"
"Alpheratz\src\components\EmptyState.tsx","UTF-8","1306"
"Alpheratz\src\components\PhotoModal.tsx","UTF-8","21032"
"Alpheratz\src\hooks\usePhotos.ts","UTF-8 (ASCII Only)","1269"
"Alpheratz\src\hooks\useScan.ts","UTF-8","2564"
"Alpheratz\src\hooks\useGridDimensions.ts","UTF-8 (ASCII Only)","1217"
"Alpheratz\src\hooks\useScroll.ts","UTF-8 (ASCII Only)","4191"
"Alpheratz\src\hooks\useMonthGroups.ts","UTF-8","2020"
"Alpheratz\src\hooks\useToasts.ts","UTF-8 (ASCII Only)","620"
"Alpheratz\src\hooks\usePhotoActions.ts","UTF-8","2662"
"Alpheratz\public\tauri.svg","UTF-8 (ASCII Only)","2605"
"Alpheratz\public\vite.svg","UTF-8 (ASCII Only)","1497"
"Alpheratz\public\Alpheratz-logo.png","Binary/System","385145"
"Alpheratz\scripts\clustering_algo.py","UTF-8","5487"
"Alpheratz\docs\ALPHERATZ_DB_SCHEMA_UPDATE_IMPACT.md","Shift-JIS (Potential)","649"
"Alpheratz\docs\ALPHERATZ_DB_SCHEMA_DESIGN.md","Shift-JIS (Potential)","913"
"tasks\todo.md","UTF-8","598"
"tasks\lessons.md","UTF-8","1858"
"Polaris\src-tauri\Cargo.lock","UTF-8 (ASCII Only)","144484"
"Polaris\src-tauri\Cargo.toml","UTF-8 (ASCII Only)","639"
"Polaris\src-tauri\build.rs","UTF-8 (ASCII Only)","40"
"Polaris\src-tauri\tauri.conf.json","UTF-8 (ASCII Only)","1053"
"Polaris\src-tauri\icon.ico","Binary/System","285478"
"Polaris\src-tauri\rust-toolchain.toml","UTF-8 (ASCII Only)","31"
"Polaris\src-tauri\icons\icon.png","Binary/System","333652"
"Polaris\src-tauri\icons\StoreLogo.png","Binary/System","5780"
"Polaris\src-tauri\icons\Square30x30Logo.png","Binary/System","2389"
"Polaris\src-tauri\icons\Square44x44Logo.png","Binary/System","4633"
"Polaris\src-tauri\icons\Square71x71Logo.png","Binary/System","10589"
"Polaris\src-tauri\icons\Square89x89Logo.png","Binary/System","15718"
"Polaris\src-tauri\icons\Square107x107Logo.png","Binary/System","21531"
"Polaris\src-tauri\icons\Square142x142Logo.png","Binary/System","35305"
"Polaris\src-tauri\icons\Square150x150Logo.png","Binary/System","38482"
"Polaris\src-tauri\icons\Square284x284Logo.png","Binary/System","117830"
"Polaris\src-tauri\icons\Square310x310Logo.png","Binary/System","137750"
"Polaris\src-tauri\icons\icon.icns","Binary/System","1941192"
"Polaris\src-tauri\icons\icon.ico","Binary/System","116596"
"Polaris\src-tauri\icons\32x32.png","Binary/System","2667"
"Polaris\src-tauri\icons\64x64.png","Binary/System","8817"
"Polaris\src-tauri\icons\128x128.png","Binary/System","29330"
"Polaris\src-tauri\icons\128x128@2x.png","Binary/System","97939"
"Polaris\src-tauri\icons\icon.bmp","Binary/System","67854"
"Polaris\src-tauri\icons\headerUI.bmp","Large File (Skipped)","17203254"
"Polaris\src-tauri\icons\wizardUI.bmp","Binary/System","1896502"
"Polaris\src-tauri\icons\android\mipmap-anydpi-v26\ic_launcher.xml","UTF-8 (ASCII Only)","261"
"Polaris\src-tauri\icons\android\values\ic_launcher_background.xml","UTF-8 (ASCII Only)","115"
"Polaris\src-tauri\icons\android\mipmap-hdpi\ic_launcher_foreground.png","Binary/System","44020"
"Polaris\src-tauri\icons\android\mipmap-hdpi\ic_launcher_round.png","Binary/System","4391"
"Polaris\src-tauri\icons\android\mipmap-hdpi\ic_launcher.png","Binary/System","4419"
"Polaris\src-tauri\icons\android\mipmap-mdpi\ic_launcher_foreground.png","Binary/System","21994"
"Polaris\src-tauri\icons\android\mipmap-mdpi\ic_launcher_round.png","Binary/System","4152"
"Polaris\src-tauri\icons\android\mipmap-mdpi\ic_launcher.png","Binary/System","4216"
"Polaris\src-tauri\icons\android\mipmap-xhdpi\ic_launcher_foreground.png","Binary/System","72474"
"Polaris\src-tauri\icons\android\mipmap-xhdpi\ic_launcher_round.png","Binary/System","13935"
"Polaris\src-tauri\icons\android\mipmap-xhdpi\ic_launcher.png","Binary/System","13811"
"Polaris\src-tauri\icons\android\mipmap-xxhdpi\ic_launcher_foreground.png","Binary/System","148428"
"Polaris\src-tauri\icons\android\mipmap-xxhdpi\ic_launcher_round.png","Binary/System","28389"
"Polaris\src-tauri\icons\android\mipmap-xxhdpi\ic_launcher.png","Binary/System","27713"
"Polaris\src-tauri\icons\android\mipmap-xxxhdpi\ic_launcher_foreground.png","Binary/System","247801"
"Polaris\src-tauri\icons\android\mipmap-xxxhdpi\ic_launcher_round.png","Binary/System","46376"
"Polaris\src-tauri\icons\android\mipmap-xxxhdpi\ic_launcher.png","Binary/System","45437"
"Polaris\src-tauri\icons\ios\AppIcon-20x20@2x-1.png","Binary/System","3886"
"Polaris\src-tauri\icons\ios\AppIcon-20x20@1x.png","Binary/System","1232"
"Polaris\src-tauri\icons\ios\AppIcon-20x20@2x.png","Binary/System","3886"
"Polaris\src-tauri\icons\ios\AppIcon-20x20@3x.png","Binary/System","7773"
"Polaris\src-tauri\icons\ios\AppIcon-29x29@2x-1.png","Binary/System","7349"
"Polaris\src-tauri\icons\ios\AppIcon-29x29@1x.png","Binary/System","2274"
"Polaris\src-tauri\icons\ios\AppIcon-29x29@2x.png","Binary/System","7349"
"Polaris\src-tauri\icons\ios\AppIcon-29x29@3x.png","Binary/System","14815"
"Polaris\src-tauri\icons\ios\AppIcon-40x40@2x-1.png","Binary/System","12830"
